SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,AgeGroup,UtilGroup,IncomeQuartile,Total Late Payments
0,0.004264079,31,0,0.111444278,2000,6,1,0,0,2,30-40,0-10%,"(-0.001, 3879.0]",1
1,0.13306279,49,1,0.182881653,10257,9,0,2,0,3,40-50,10-30%,"(7385.25, 251608.0]",2
0,0.888822236,34,0,0.368403802,3050,4,0,0,0,1,30-40,70-100%,"(-0.001, 3879.0]",0
0,0.791173628,44,0,0.51241535,3100,5,0,1,0,0,40-50,70-100%,"(-0.001, 3879.0]",1
0,0,61,0,0.2226598,3300,14,0,1,0,0,50-65,0-10%,"(-0.001, 3879.0]",1
0,0.093962275,55,0,0.112051635,9450,6,0,2,0,0,50-65,0-10%,"(7385.25, 251608.0]",2
0,0.496911825,40,0,0.452363811,12500,11,0,2,0,2,30-40,30-50%,"(7385.25, 251608.0]",2
0,0.54699881,50,0,0.748071979,3500,9,0,2,0,3,40-50,50-70%,"(-0.001, 3879.0]",2
0,0.012682366,60,0,0.412979783,6825,20,0,2,0,0,50-65,0-10%,"(5351.0, 7385.25]",2
0,0.323719804,63,0,0.610841267,5146,9,0,2,0,2,50-65,30-50%,"(3879.0, 5351.0]",2
0,0.13527952,58,0,0.342005076,9455,11,0,2,0,2,50-65,10-30%,"(7385.25, 251608.0]",2
1,0.085338293,51,0,0.477503628,6200,11,0,1,0,0,50-65,0-10%,"(5351.0, 7385.25]",1
1,0,25,0,0.152896812,2916,3,0,0,1,0,<30,0-10%,"(-0.001, 3879.0]",1
0,0.714980139,55,0,0.47090194,15000,12,0,2,0,3,50-65,70-100%,"(7385.25, 251608.0]",2
0,0.137609462,49,0,0.429533892,7272,11,0,2,0,0,40-50,10-30%,"(5351.0, 7385.25]",2
0,0.021978375,40,0,0.443755624,10000,12,0,5,0,2,30-40,0-10%,"(7385.25, 251608.0]",5
0,0.292365949,50,0,0.420180551,8750,8,0,2,0,0,40-50,10-30%,"(7385.25, 251608.0]",2
0,0.053431552,41,0,0.20364404,9000,3,0,1,0,0,40-50,0-10%,"(7385.25, 251608.0]",1
0,0.084220458,42,0,0.458551158,6694,26,0,2,0,4,40-50,0-10%,"(5351.0, 7385.25]",2
0,0.112321289,53,0,0.266909775,8500,9,0,1,0,5,50-65,10-30%,"(7385.25, 251608.0]",1
0,0,23,0,0,1725,1,0,0,0,0,<30,0-10%,"(-0.001, 3879.0]",0
0,0.008099838,69,0,0.389895596,8332,3,0,1,0,0,65+,0-10%,"(7385.25, 251608.0]",1
0,0.991667222,36,1,0.554878049,5411,10,0,2,0,1,30-40,70-100%,"(5351.0, 7385.25]",2
0,0.9999999,62,0,0,5480,3,0,0,0,0,50-65,70-100%,"(5351.0, 7385.25]",0
0,0.371875401,29,0,0.53628857,2300,9,0,1,0,3,<30,30-50%,"(-0.001, 3879.0]",1
0,0.547887778,29,1,0.24651504,2725,5,0,0,1,0,<30,50-70%,"(-0.001, 3879.0]",1
0,1,38,2,0.472542946,3550,8,1,0,1,4,30-40,70-100%,"(-0.001, 3879.0]",2
0,0.067259209,29,1,0.168340507,2090,3,0,0,0,0,<30,0-10%,"(-0.001, 3879.0]",0
0,0.053589282,87,0,0.001534331,5213,4,0,0,0,0,65+,0-10%,"(3879.0, 5351.0]",0
0,0.052653171,43,0,0.572292191,1984,9,0,0,0,4,40-50,0-10%,"(-0.001, 3879.0]",0
0,0.630073985,38,0,0.563328034,1886,3,0,1,0,0,30-40,50-70%,"(-0.001, 3879.0]",1
0,0.457526639,51,0,0.333583302,8000,16,0,2,0,2,50-65,30-50%,"(7385.25, 251608.0]",2
0,0.012586354,79,0,0.009596162,2500,11,0,0,0,0,65+,0-10%,"(-0.001, 3879.0]",0
0,0.029694361,76,0,0.070513488,9600,7,0,0,0,2,65+,0-10%,"(7385.25, 251608.0]",0
0,0.006666097,27,0,0.000268637,7444,5,0,0,0,0,<30,0-10%,"(7385.25, 251608.0]",0
0,0.030996074,56,0,0.131430952,4800,11,0,1,0,0,50-65,0-10%,"(3879.0, 5351.0]",1
1,0.733885463,49,2,0.369223765,8785,20,0,2,0,2,40-50,70-100%,"(7385.25, 251608.0]",2
0,0.397702982,38,0,0.41627543,5750,6,0,1,0,2,30-40,30-50%,"(5351.0, 7385.25]",1
0,0,73,0,0.386728192,4550,18,0,0,0,0,65+,0-10%,"(3879.0, 5351.0]",0
0,0.212464485,58,0,0.518991188,3290,10,0,1,0,1,50-65,10-30%,"(-0.001, 3879.0]",1
0,0.799981673,61,3,0.671076012,5064,19,0,3,1,0,50-65,70-100%,"(3879.0, 5351.0]",4
0,0.057867667,81,0,0.145685279,3939,13,0,0,0,0,65+,0-10%,"(3879.0, 5351.0]",0
0,0.138793584,43,0,0.384074741,11666,9,0,5,0,0,40-50,10-30%,"(7385.25, 251608.0]",5
0,0.052161271,49,0,0.067629397,6993,5,0,0,0,1,40-50,0-10%,"(5351.0, 7385.25]",0
0,0.611388611,22,0,0.347066167,800,4,0,0,0,0,<30,50-70%,"(-0.001, 3879.0]",0
0,0.551889862,42,1,0.790613718,3600,18,0,2,0,1,40-50,50-70%,"(-0.001, 3879.0]",2
1,0.640058527,39,0,0.055984556,9841,9,0,0,0,2,30-40,50-70%,"(7385.25, 251608.0]",0
0,0,82,0,0,5351,3,0,0,0,0,65+,0-10%,"(3879.0, 5351.0]",0
0,0.040186458,35,0,0.300839136,5600,8,0,2,0,1,30-40,0-10%,"(5351.0, 7385.25]",2
0,0.10680013,44,3,0.747375437,6000,8,0,3,0,2,40-50,10-30%,"(5351.0, 7385.25]",3
0,0.277436128,59,0,0.388566694,3620,8,0,1,0,1,50-65,10-30%,"(-0.001, 3879.0]",1
0,0.875440658,37,0,0.437717467,1436,5,0,0,0,1,30-40,70-100%,"(-0.001, 3879.0]",0
0,0.9999999,49,1,0.098937721,4800,1,0,0,0,4,40-50,70-100%,"(3879.0, 5351.0]",0
0,0.048911121,63,0,0.102800764,6283,4,0,0,0,1,50-65,0-10%,"(5351.0, 7385.25]",0
0,0.016995185,62,0,0.002301937,5212,4,0,0,0,0,50-65,0-10%,"(3879.0, 5351.0]",0
0,0.088809584,51,0,0.295480067,7123,12,0,1,0,0,50-65,0-10%,"(5351.0, 7385.25]",1
0,0.021319787,64,0,0.24496788,2334,13,0,1,0,0,50-65,0-10%,"(-0.001, 3879.0]",1
0,0.281880372,28,0,0.179975176,2416,7,0,0,0,0,<30,10-30%,"(-0.001, 3879.0]",0
1,0.149314411,36,0,0.558320373,4500,9,0,3,0,0,30-40,10-30%,"(3879.0, 5351.0]",3
0,0,65,0,0.416379181,6666,10,0,1,0,0,50-65,0-10%,"(5351.0, 7385.25]",1
0,0.189734189,60,0,0.04587156,2833,2,0,0,0,0,50-65,10-30%,"(-0.001, 3879.0]",0
0,1,52,0,0.319174181,4213,7,0,0,0,0,50-65,70-100%,"(3879.0, 5351.0]",0
0,0.410946459,56,0,0.712194056,4575,16,0,1,0,0,50-65,30-50%,"(3879.0, 5351.0]",1
0,0.013574112,60,0,0.711075819,17000,11,0,3,0,0,50-65,0-10%,"(7385.25, 251608.0]",3
0,0.084589254,76,0,0.044093178,1201,8,0,0,0,0,65+,0-10%,"(-0.001, 3879.0]",0
0,0.066285085,58,0,0.228999349,9213,7,0,1,0,0,50-65,0-10%,"(7385.25, 251608.0]",1
0,0.072377744,48,0,0.399050079,12000,9,0,2,0,0,40-50,0-10%,"(7385.25, 251608.0]",2
0,0.716283716,46,0,0.26775232,5280,10,0,2,0,2,40-50,70-100%,"(3879.0, 5351.0]",2
0,0.556142972,58,0,0.177274242,3000,2,0,0,0,0,50-65,50-70%,"(-0.001, 3879.0]",0
0,0.04564894,27,0,0.274952015,4167,21,0,1,0,0,<30,0-10%,"(3879.0, 5351.0]",1
0,0.160226787,31,0,0.356018715,2350,5,0,0,0,0,30-40,10-30%,"(-0.001, 3879.0]",0
0,0.715720439,33,0,1.002499107,2800,8,0,2,0,0,30-40,70-100%,"(-0.001, 3879.0]",2
0,0.158100266,45,2,0.475322703,3950,19,0,1,0,1,40-50,10-30%,"(3879.0, 5351.0]",1
0,0.547124146,40,0,0.121319069,9066,6,0,0,0,4,30-40,50-70%,"(7385.25, 251608.0]",0
0,0.5112397,58,0,0.963084409,9453,13,0,3,0,1,50-65,50-70%,"(7385.25, 251608.0]",3
0,0.086492476,64,0,0.074734316,5833,8,0,1,0,1,50-65,0-10%,"(5351.0, 7385.25]",1
0,0.15189171,59,0,0.301074556,15075,13,0,2,0,0,50-65,10-30%,"(7385.25, 251608.0]",2
0,0.606025418,39,3,0.375647341,7916,10,0,2,0,2,30-40,50-70%,"(7385.25, 251608.0]",2
0,0.347921078,42,0,0.373740482,13000,11,0,2,0,2,40-50,30-50%,"(7385.25, 251608.0]",2
0,0.48987523,34,0,0.319171724,2800,3,0,0,0,1,30-40,30-50%,"(-0.001, 3879.0]",0
0,0.9999999,34,1,0,5400,0,1,0,0,0,30-40,70-100%,"(5351.0, 7385.25]",1
0,0.518186405,73,0,0.504887091,8900,17,0,1,0,1,65+,50-70%,"(7385.25, 251608.0]",1
0,0.003735788,39,0,0.459166466,4150,10,0,2,0,0,30-40,0-10%,"(3879.0, 5351.0]",2
0,0.397244161,25,0,0.294852574,2000,5,0,0,0,0,<30,30-50%,"(-0.001, 3879.0]",0
0,0.222506167,59,0,0.271467415,11400,9,0,2,0,0,50-65,10-30%,"(7385.25, 251608.0]",2
0,0.251284106,34,0,0.75145816,8400,18,0,4,0,0,30-40,10-30%,"(7385.25, 251608.0]",4
0,0.016658432,53,0,0.315187201,9000,6,0,1,0,0,50-65,0-10%,"(7385.25, 251608.0]",1
0,0.319378527,59,0,0.156959213,6300,22,0,0,0,0,50-65,30-50%,"(5351.0, 7385.25]",0
0,0.019327552,80,0,0.180763847,5000,11,0,0,0,0,65+,0-10%,"(3879.0, 5351.0]",0
0,0.691722293,78,0,0.691183331,6430,6,0,2,0,0,65+,50-70%,"(5351.0, 7385.25]",2
0,0.399033876,32,0,0.433893685,2200,7,0,0,0,0,30-40,30-50%,"(-0.001, 3879.0]",0
0,0.408690635,46,0,1.055195584,4166,12,0,2,0,0,40-50,30-50%,"(3879.0, 5351.0]",2
1,0.017558727,47,0,0.53540175,2513,10,1,1,0,0,40-50,0-10%,"(-0.001, 3879.0]",2
1,0.829560586,34,1,0.248187953,4000,6,0,1,0,2,30-40,70-100%,"(3879.0, 5351.0]",1
0,0.112820211,81,0,0.312868713,10000,6,0,1,0,0,65+,10-30%,"(7385.25, 251608.0]",1
0,0.520689428,68,3,0.777370438,6000,9,0,3,0,0,65+,50-70%,"(5351.0, 7385.25]",3
0,0.1925349,38,0,0.225741941,12500,12,0,2,0,0,30-40,10-30%,"(7385.25, 251608.0]",2
0,0.030761368,62,0,0.015661446,3000,5,0,1,0,0,50-65,0-10%,"(-0.001, 3879.0]",1
0,0.002072256,58,0,0.210742857,8749,12,0,2,0,0,50-65,0-10%,"(7385.25, 251608.0]",2
0,0.220201834,34,0,0.462354974,4050,10,0,2,0,1,30-40,10-30%,"(3879.0, 5351.0]",2
0,0.788340389,43,0,0.099845092,7100,3,0,0,0,1,40-50,70-100%,"(5351.0, 7385.25]",0
0,0.247135843,34,0,0.090524087,5666,3,0,0,0,1,30-40,10-30%,"(5351.0, 7385.25]",0
0,0.9999999,43,0,0.129623459,3000,1,0,0,0,0,40-50,70-100%,"(-0.001, 3879.0]",0
0,0.946978196,34,0,0.335438375,9500,12,0,2,0,2,30-40,70-100%,"(7385.25, 251608.0]",2
0,0.28927034,48,0,0.691654173,2000,7,0,1,0,2,40-50,10-30%,"(-0.001, 3879.0]",1
0,0.075327056,62,0,0.071378477,12832,7,0,1,0,0,50-65,0-10%,"(7385.25, 251608.0]",1
0,0.009917446,64,0,0.447430975,5468,12,0,2,0,0,50-65,0-10%,"(5351.0, 7385.25]",2
0,0.135042385,71,0,0.017903057,10500,14,0,0,0,0,65+,10-30%,"(7385.25, 251608.0]",0
0,0.307191593,39,0,0.607185223,5900,5,0,2,0,0,30-40,30-50%,"(5351.0, 7385.25]",2
0,0.428382755,36,0,0.2706115,6573,12,0,1,0,0,30-40,30-50%,"(5351.0, 7385.25]",1
0,0.089146989,45,1,0.25974805,5000,7,0,2,0,0,40-50,0-10%,"(3879.0, 5351.0]",2
0,0,48,0,0.05692407,10838,4,0,0,0,1,40-50,0-10%,"(7385.25, 251608.0]",0
0,0.010751197,76,0,0.117910841,3790,17,0,0,0,0,65+,0-10%,"(-0.001, 3879.0]",0
0,0.099482078,44,0,0.431368631,5004,7,0,1,0,3,40-50,0-10%,"(3879.0, 5351.0]",1
0,0.058309113,70,0,0.723310676,2500,12,0,2,0,0,65+,0-10%,"(-0.001, 3879.0]",2
0,0.076703026,41,0,0.388436652,4790,14,0,2,0,0,40-50,0-10%,"(3879.0, 5351.0]",2
0,0.149113358,68,0,0.699205217,4906,8,0,2,0,0,65+,10-30%,"(3879.0, 5351.0]",2
0,0.099815157,57,0,0.232339826,4260,8,0,1,0,1,50-65,0-10%,"(3879.0, 5351.0]",1
0,0.9999999,27,0,0.014697237,1700,0,0,0,0,1,<30,70-100%,"(-0.001, 3879.0]",0
0,0.065421016,56,1,0.238432226,1836,9,0,0,0,0,50-65,0-10%,"(-0.001, 3879.0]",0
0,0.811623025,33,1,0.439755691,1800,8,0,0,0,4,30-40,70-100%,"(-0.001, 3879.0]",0
0,0.58069462,39,1,0.785196922,4417,8,0,2,0,0,30-40,50-70%,"(3879.0, 5351.0]",2
0,0.874912509,46,0,0.302199741,8500,4,0,1,0,0,40-50,70-100%,"(7385.25, 251608.0]",1
0,0.9999999,41,0,0.007664112,3000,0,0,0,0,0,40-50,70-100%,"(-0.001, 3879.0]",0
0,0,68,0,0.634674923,1614,9,0,1,0,1,65+,0-10%,"(-0.001, 3879.0]",1
0,0.119775556,31,0,0.041959578,4551,3,1,0,0,0,30-40,10-30%,"(3879.0, 5351.0]",1
1,0.9999999,30,0,0.015108425,5625,2,0,0,0,1,<30,70-100%,"(5351.0, 7385.25]",0
0,0.176443529,67,0,0.182522829,9417,15,0,2,0,0,65+,10-30%,"(7385.25, 251608.0]",2
0,0.330939503,41,3,0.316851482,5500,6,0,1,0,2,40-50,30-50%,"(5351.0, 7385.25]",1
0,0.012739234,70,0,0.008663779,3000,6,0,0,0,0,65+,0-10%,"(-0.001, 3879.0]",0
0,0,57,0,0,5351,12,0,0,0,0,50-65,0-10%,"(3879.0, 5351.0]",0
0,0.073037127,49,0,0.249922094,6417,8,0,2,0,0,40-50,0-10%,"(5351.0, 7385.25]",2
0,0,67,0,0.031403337,2037,4,0,0,0,1,65+,0-10%,"(-0.001, 3879.0]",0
0,0.017509173,59,0,0.365119461,9500,8,0,2,0,0,50-65,0-10%,"(7385.25, 251608.0]",2
0,0.09514671,30,0,0.262804799,7750,9,0,1,0,0,<30,0-10%,"(7385.25, 251608.0]",1
0,0.525349959,44,0,0.265853034,11716,8,0,2,0,1,40-50,50-70%,"(7385.25, 251608.0]",2
0,0.074231442,25,0,0.155248456,3400,4,0,0,0,0,<30,0-10%,"(-0.001, 3879.0]",0
0,0.009985653,72,0,0.277165033,9791,8,0,2,0,0,65+,0-10%,"(7385.25, 251608.0]",2
0,0.081353789,59,0,0.028554343,60200,13,0,1,0,1,50-65,0-10%,"(7385.25, 251608.0]",1
0,0.173713417,80,0,0.391101483,6000,7,0,2,0,0,65+,10-30%,"(5351.0, 7385.25]",2
0,0.480988269,59,0,0.164019337,11583,18,0,1,0,1,50-65,30-50%,"(7385.25, 251608.0]",1
0,0.268399353,38,0,0.507758759,6250,12,0,1,0,2,30-40,10-30%,"(5351.0, 7385.25]",1
0,0.380440179,58,0,0.321542384,6275,9,0,1,0,0,50-65,30-50%,"(5351.0, 7385.25]",1
0,0.212957409,61,0,0.49910018,5000,4,0,2,0,0,50-65,10-30%,"(3879.0, 5351.0]",2
0,0.196222729,67,0,0.158012596,7144,9,0,1,0,0,65+,10-30%,"(5351.0, 7385.25]",1
0,0.555938038,53,0,0.451816271,3330,10,0,0,0,0,50-65,50-70%,"(-0.001, 3879.0]",0
0,0.511248875,38,1,0.476190476,4304,10,0,1,0,2,30-40,50-70%,"(3879.0, 5351.0]",1
0,0.16805774,43,0,0.313671582,4000,7,0,1,0,0,40-50,10-30%,"(3879.0, 5351.0]",1
0,0.054783369,63,0,0.099980004,5000,15,0,0,0,1,50-65,0-10%,"(3879.0, 5351.0]",0
0,0.121532709,29,0,0.155711072,4000,4,0,0,0,0,<30,10-30%,"(3879.0, 5351.0]",0
0,0.029570959,80,0,0.048762191,1332,13,0,0,0,0,65+,0-10%,"(-0.001, 3879.0]",0
0,0.83121405,42,0,0.105620649,17666,12,0,0,0,0,40-50,70-100%,"(7385.25, 251608.0]",0
0,0.510293034,59,0,0.31697841,61000,13,0,2,0,1,50-65,50-70%,"(7385.25, 251608.0]",2
0,0.070741157,65,0,0.146763902,2193,5,0,0,0,0,50-65,0-10%,"(-0.001, 3879.0]",0
0,0.55986436,63,0,0.589572193,2243,6,0,1,0,0,50-65,50-70%,"(-0.001, 3879.0]",1
0,0,30,0,0.149209191,3350,10,0,0,0,0,<30,0-10%,"(-0.001, 3879.0]",0
0,0.009495252,56,0,0.055031668,7104,2,0,0,0,1,50-65,0-10%,"(5351.0, 7385.25]",0
0,0.329152121,41,0,0.534155364,4054,8,0,2,0,1,40-50,30-50%,"(3879.0, 5351.0]",2
0,0.536461805,45,1,0.142285905,3000,3,2,0,0,1,40-50,50-70%,"(-0.001, 3879.0]",2
0,0.267368644,50,0,0.420291743,23033,46,0,6,0,0,40-50,10-30%,"(7385.25, 251608.0]",6
0,0.143931853,61,0,0.222951896,6090,9,0,1,0,0,50-65,10-30%,"(5351.0, 7385.25]",1
0,0.299417878,56,0,0.65971575,8583,11,0,2,0,0,50-65,10-30%,"(7385.25, 251608.0]",2
0,0.455154587,49,1,0.913286004,1971,11,0,0,0,0,40-50,30-50%,"(-0.001, 3879.0]",0
0,0,71,0,0.233691577,4000,6,0,1,0,2,65+,0-10%,"(3879.0, 5351.0]",1
0,0,46,0,0.149445764,5051,3,0,1,0,0,40-50,0-10%,"(3879.0, 5351.0]",1
0,0.9999999,29,0,0,5351,0,0,0,0,0,<30,70-100%,"(3879.0, 5351.0]",0
0,0,52,0,0.360159658,10772,10,0,1,0,4,50-65,0-10%,"(7385.25, 251608.0]",1
0,0.231831982,44,0,0.192690243,12667,6,0,1,0,2,40-50,10-30%,"(7385.25, 251608.0]",1
0,0.056371415,44,0,0.359768292,14500,10,0,2,0,1,40-50,0-10%,"(7385.25, 251608.0]",2
0,0.9999999,63,5,0.194618671,11000,7,0,2,0,0,50-65,70-100%,"(7385.25, 251608.0]",2
0,0.827200631,53,0,0.505687694,2900,8,0,3,0,0,50-65,70-100%,"(-0.001, 3879.0]",3
0,0.30428262,32,0,0.274722886,4600,8,0,1,0,0,30-40,30-50%,"(3879.0, 5351.0]",1
0,0.006838698,43,0,0.527266028,2713,7,0,1,0,1,40-50,0-10%,"(-0.001, 3879.0]",1
1,0.197701607,55,1,0.258874113,10000,7,0,2,1,1,50-65,10-30%,"(7385.25, 251608.0]",3
0,1,61,0,0.432814229,11750,12,0,1,0,1,50-65,70-100%,"(7385.25, 251608.0]",1
0,0.9999999,32,0,0.566289141,1500,4,0,0,0,0,30-40,70-100%,"(-0.001, 3879.0]",0
0,0.162218632,49,0,0.459160129,4333,9,0,2,0,1,40-50,10-30%,"(3879.0, 5351.0]",2
0,0.005660923,42,0,0.001606856,5600,1,0,0,0,1,40-50,0-10%,"(5351.0, 7385.25]",0
0,0.247103146,63,0,0.382146601,12400,22,0,3,0,1,50-65,10-30%,"(7385.25, 251608.0]",3
0,0.006161492,41,0,0.001079914,8333,3,0,0,0,0,40-50,0-10%,"(7385.25, 251608.0]",0
0,0.162704663,36,0,0.043175147,8175,9,0,0,0,4,30-40,10-30%,"(7385.25, 251608.0]",0
0,0.009937069,76,0,0.327737096,5598,16,0,2,0,0,65+,0-10%,"(5351.0, 7385.25]",2
1,0.9999999,55,0,0.025398541,3700,1,2,0,1,0,50-65,70-100%,"(-0.001, 3879.0]",3
0,0.494343504,51,0,0.692561488,3333,6,0,1,0,0,50-65,30-50%,"(-0.001, 3879.0]",1
0,0.208583325,50,0,0.050887927,6700,10,1,0,0,1,40-50,10-30%,"(5351.0, 7385.25]",1
0,0.441343163,45,0,1.404297851,2000,15,0,1,0,0,40-50,30-50%,"(-0.001, 3879.0]",1
0,0.026048127,49,0,0.322921627,10500,24,0,3,0,0,40-50,0-10%,"(7385.25, 251608.0]",3
0,0.000115738,60,0,0.008918316,14800,5,0,0,0,1,50-65,0-10%,"(7385.25, 251608.0]",0
0,0.006631879,27,0,0.186841149,2750,6,0,0,0,0,<30,0-10%,"(-0.001, 3879.0]",0
0,0.197212966,49,1,0.196000987,4050,6,0,1,2,0,40-50,10-30%,"(3879.0, 5351.0]",3
0,0.9999999,53,0,0.1026737,10995,7,0,0,0,2,50-65,70-100%,"(7385.25, 251608.0]",0
1,0.9999999,30,0,0,2900,3,0,0,0,1,<30,70-100%,"(-0.001, 3879.0]",0
0,0.288158053,38,0,0.494088583,5666,5,0,2,0,1,30-40,10-30%,"(5351.0, 7385.25]",2
0,0.484136932,46,0,0.144113613,12392,7,0,1,0,0,40-50,30-50%,"(7385.25, 251608.0]",1
0,0.017639294,89,0,0.007223476,2214,6,0,0,0,0,65+,0-10%,"(-0.001, 3879.0]",0
0,0.009386388,71,0,0.010705922,2988,12,0,0,0,0,65+,0-10%,"(-0.001, 3879.0]",0
0,0.10192376,63,0,0.327049414,3500,7,0,1,0,1,50-65,10-30%,"(-0.001, 3879.0]",1
0,0,60,0,0.624692034,3652,9,0,2,0,0,50-65,0-10%,"(-0.001, 3879.0]",2
0,0.319447649,55,1,0.133364098,2166,6,0,0,0,1,50-65,30-50%,"(-0.001, 3879.0]",0
0,0,24,0,0,3100,1,0,0,0,0,<30,0-10%,"(-0.001, 3879.0]",0
0,0.024624807,50,0,0.197565025,7227,6,0,1,0,0,40-50,0-10%,"(5351.0, 7385.25]",1
0,0.343657564,58,2,0.316710411,8000,14,0,1,0,0,50-65,30-50%,"(7385.25, 251608.0]",1
0,0.9999999,23,0,0.117033604,862,1,0,0,0,0,<30,70-100%,"(-0.001, 3879.0]",0
0,0.243902439,29,0,0.248864668,1100,3,0,0,0,0,<30,10-30%,"(-0.001, 3879.0]",0
0,0.159873773,42,0,0.413489736,3750,9,0,1,0,0,40-50,10-30%,"(-0.001, 3879.0]",1
0,0.062146416,90,0,1.41586138,3000,18,0,1,0,0,65+,0-10%,"(-0.001, 3879.0]",1
0,0.093598023,62,0,0.226219025,5003,14,0,1,0,0,50-65,0-10%,"(3879.0, 5351.0]",1
0,0.240375962,56,0,0.678018576,1614,3,0,2,0,0,50-65,10-30%,"(-0.001, 3879.0]",2
1,0.9999999,46,0,0.427854938,5183,4,1,1,0,7,40-50,70-100%,"(3879.0, 5351.0]",2
0,0.177730469,34,0,0.156888693,6800,8,0,0,0,0,30-40,10-30%,"(5351.0, 7385.25]",0
0,0.950105123,46,0,0.52499494,4940,5,0,1,0,3,40-50,70-100%,"(3879.0, 5351.0]",1
0,0.01292519,54,0,0.00235248,5100,9,0,0,0,3,50-65,0-10%,"(3879.0, 5351.0]",0
0,0.238829674,56,1,0.259947774,16083,25,0,2,1,0,50-65,10-30%,"(7385.25, 251608.0]",3
0,0.000291949,60,0,0.518683579,2916,17,0,1,0,0,50-65,0-10%,"(-0.001, 3879.0]",1
0,0.401824962,42,0,0.3843717,10416,7,0,2,0,4,40-50,30-50%,"(7385.25, 251608.0]",2
0,0,51,0,0.073110285,4034,8,0,0,0,2,50-65,0-10%,"(3879.0, 5351.0]",0
0,0.06400657,55,0,0.479244421,13128,8,0,3,0,0,50-65,0-10%,"(7385.25, 251608.0]",3
0,0.005643425,68,0,0.718816068,3783,4,0,1,0,0,65+,0-10%,"(-0.001, 3879.0]",1
0,0.459293814,53,0,0.637213763,8340,11,0,2,0,2,50-65,30-50%,"(7385.25, 251608.0]",2
0,0.077708073,74,0,0.16712694,10500,14,0,1,0,0,65+,0-10%,"(7385.25, 251608.0]",1
0,0,66,0,0.171582842,10000,5,0,1,0,0,65+,0-10%,"(7385.25, 251608.0]",1
0,0.18197221,60,0,0.407635245,16580,23,0,3,0,2,50-65,10-30%,"(7385.25, 251608.0]",3
0,0.9999999,36,0,0.486570893,1600,3,0,2,0,3,30-40,70-100%,"(-0.001, 3879.0]",2
0,0.229616088,49,1,0.43115721,4916,26,0,1,0,1,40-50,10-30%,"(3879.0, 5351.0]",1
0,0.414240261,61,0,0.136463194,10500,14,0,2,0,0,50-65,30-50%,"(7385.25, 251608.0]",2
0,0.571642103,41,0,0.315460567,8000,7,0,0,0,2,40-50,50-70%,"(7385.25, 251608.0]",0
0,0.540729635,25,1,0.055347259,5600,3,0,0,0,1,<30,50-70%,"(5351.0, 7385.25]",0
0,0.677295454,49,0,0.149475738,4100,4,0,0,0,0,40-50,50-70%,"(3879.0, 5351.0]",0
0,0.428439507,59,0,0.434346035,7767,12,0,2,0,0,50-65,30-50%,"(7385.25, 251608.0]",2
0,0.027700831,66,0,0.635515265,7500,10,0,2,0,1,65+,0-10%,"(7385.25, 251608.0]",2
0,0.659006779,50,0,0.564160685,7940,10,0,3,0,2,40-50,50-70%,"(7385.25, 251608.0]",3
